DATE30,MORTGAGE30US,DATEHPI,USSTHPI,DATE15,MORTGAGE15US
4/2/1971,7.33,1/1/1975,59.83,1991-08-30,8.77
4/9/1971,7.31,4/1/1975,60.97,1991-09-06,8.79
4/16/1971,7.31,7/1/1975,61.21,1991-09-13,8.68
4/23/1971,7.31,10/1/1975,62.26,1991-09-20,8.62
4/30/1971,7.29,1/1/1976,62.88,1991-09-27,8.59
5/7/1971,7.38,4/1/1976,65.44,1991-10-04,8.51
5/14/1971,7.42,7/1/1976,66.57,1991-10-11,8.46
5/21/1971,7.44,10/1/1976,67.33,1991-10-18,8.45
5/28/1971,7.46,1/1/1977,69.41,1991-10-25,8.51
6/4/1971,7.52,4/1/1977,72.68,1991-11-01,8.41
6/11/1971,7.52,7/1/1977,74.41,1991-11-08,8.36
6/18/1971,7.54,10/1/1977,77.28,1991-11-15,8.32
6/25/1971,7.54,1/1/1978,79.58,1991-11-22,8.25
7/2/1971,7.54,4/1/1978,82.77,1991-11-29,8.29
7/9/1971,7.54,7/1/1978,85.21,1991-12-06,8.21
7/16/1971,7.6,10/1/1978,87.48,1991-12-13,8.10
7/23/1971,7.65,1/1/1979,91.39,1991-12-20,8.07
7/30/1971,7.69,4/1/1979,94.4,1991-12-27,7.90
8/6/1971,7.66,7/1/1979,96.35,1992-01-03,7.79
8/13/1971,7.73,10/1/1979,98.29,1992-01-10,7.79
8/20/1971,7.71,1/1/1980,100,1992-01-17,8.03
8/27/1971,7.69,4/1/1980,101.58,1992-01-24,8.14
9/3/1971,7.71,7/1/1980,104.51,1992-01-31,8.28
9/10/1971,7.67,10/1/1980,104.81,1992-02-07,8.30
9/17/1971,7.7,1/1/1981,105.4,1992-02-14,8.36
9/24/1971,7.67,4/1/1981,107.54,1992-02-21,8.43
10/1/1971,7.67,7/1/1981,109.17,1992-02-28,8.44
10/8/1971,7.63,10/1/1981,109.19,1992-03-06,8.48
10/15/1971,7.63,1/1/1982,110.92,1992-03-13,8.51
10/22/1971,7.58,4/1/1982,111.93,1992-03-20,8.69
10/29/1971,7.63,7/1/1982,110.89,1992-03-27,8.63
11/5/1971,7.59,10/1/1982,112.26,1992-04-03,8.57
11/12/1971,7.56,1/1/1983,114.24,1992-04-10,8.44
11/19/1971,7.54,4/1/1983,115.51,1992-04-17,8.38
11/26/1971,7.51,7/1/1983,116.43,1992-04-24,8.49
12/3/1971,7.49,10/1/1983,117.08,1992-05-01,8.46
12/10/1971,7.47,1/1/1984,118.88,1992-05-08,8.38
12/17/1971,7.48,4/1/1984,120.44,1992-05-15,8.26
12/24/1971,7.48,7/1/1984,121.55,1992-05-22,8.16
