DATE,USSTHPI
1975-01-01,59.83
1975-04-01,60.97
1975-07-01,61.21
1975-10-01,62.26
1976-01-01,62.88
1976-04-01,65.44
1976-07-01,66.57
1976-10-01,67.33
1977-01-01,69.41
1977-04-01,72.68
1977-07-01,74.41
1977-10-01,77.28
1978-01-01,79.58
1978-04-01,82.77
1978-07-01,85.21
1978-10-01,87.48
1979-01-01,91.39
1979-04-01,94.4
1979-07-01,96.35
1979-10-01,98.29
1980-01-01,100.00
1980-04-01,101.58
1980-07-01,104.51
1980-10-01,104.81
1981-01-01,105.4
1981-04-01,107.54
1981-07-01,109.17
1981-10-01,109.19
1982-01-01,110.92
1982-04-01,111.93
1982-07-01,110.89
1982-10-01,112.26
1983-01-01,114.24
1983-04-01,115.51
1983-07-01,116.43
1983-10-01,117.08
1984-01-01,118.88
1984-04-01,120.44
1984-07-01,121.55
1984-10-01,122.53
1985-01-01,124.27
1985-04-01,126.14
1985-07-01,128.1
1985-10-01,129.53
1986-01-01,132.02
1986-04-01,134.78
1986-07-01,136.82
1986-10-01,138.93
1987-01-01,141.69
1987-04-01,143.86
1987-07-01,145.5
1987-10-01,146.45
1988-01-01,148.72
1988-04-01,151.69
1988-07-01,153.24
1988-10-01,154.67
1989-01-01,156.47
1989-04-01,158.62
1989-07-01,161.98
1989-10-01,163.33
1990-01-01,164.24
1990-04-01,164.92
1990-07-01,165.91
1990-10-01,165.26
1991-01-01,166.64
1991-04-01,167.77
1991-07-01,168.05
1991-10-01,170.42
1992-01-01,171.74
1992-04-01,171.7
1992-07-01,173.67
1992-10-01,174.54
1993-01-01,174.6
1993-04-01,176.27
1993-07-01,177.68
1993-10-01,179.15
1994-01-01,180.29
1994-04-01,181.37
1994-07-01,182.12
1994-10-01,181.97
1995-01-01,182.93
1995-04-01,185.93
1995-07-01,188.81
1995-10-01,190.28
1996-01-01,192.42
1996-04-01,192.76
1996-07-01,193.62
1996-10-01,195.12
1997-01-01,196.76
1997-04-01,198.4
1997-07-01,201.13
1997-10-01,203.74
1998-01-01,206.78
1998-04-01,208.63
1998-07-01,211.54
1998-10-01,214.04
1999-01-01,216.29
1999-04-01,219.18
1999-07-01,222.28
1999-10-01,224.58
2000-01-01,228.88
2000-04-01,232.6
2000-07-01,236.84
2000-10-01,240.48
2001-01-01,246.41
2001-04-01,250.55
2001-07-01,254.44
2001-10-01,257.6
2002-01-01,261.3
2002-04-01,265.75
2002-07-01,271.02
2002-10-01,274.86
2003-01-01,278.21
2003-04-01,281.6
2003-07-01,285.94
2003-10-01,294.04
2004-01-01,298.64
2004-04-01,305.93
2004-07-01,317.59
2004-10-01,324.38
2005-01-01,331.83
2005-04-01,342.43
2005-07-01,352.78
2005-10-01,360.76
2006-01-01,366.47
2006-04-01,370.21
2006-07-01,373.26
2006-10-01,377.08
2007-01-01,378.5
2007-04-01,378.23
2007-07-01,373.99
2007-10-01,372.8
2008-01-01,370.09
2008-04-01,360.71
2008-07-01,349.34
2008-10-01,346.1
2009-01-01,348.65
2009-04-01,339.45
2009-07-01,330.53
2009-10-01,328.02
2010-01-01,324.08
2010-04-01,321.16
2010-07-01,324.21
2010-10-01,321.87
2011-01-01,312.99
2011-04-01,307.53
2011-07-01,309.79
2011-10-01,311.16
2012-01-01,307.85
2012-04-01,306.54
2012-07-01,310.51
2012-10-01,312.98
2013-01-01,314.6
2013-04-01,319.51
2013-07-01,324.44
2013-10-01,327.11
2014-01-01,329.96
2014-04-01,336.28
2014-07-01,341.1
2014-10-01,343.96
2015-01-01,347.46
2015-04-01,353.39
2015-07-01,358.76
2015-10-01,361.91
2016-01-01,365.21
2016-04-01,372.24
2016-07-01,378.88
2016-10-01,382.26
2017-01-01,385.62
2017-04-01,394.99
2017-07-01,401.57
2017-10-01,405.34
2018-01-01,411.43
2018-04-01,420.28
2018-07-01,426.21
2018-10-01,428.54
2019-01-01,433.27
2019-04-01,441.31
2019-07-01,446.77
2019-10-01,450.97
2020-01-01,454.86
